targetId,comparatorId,outcomeId,outcomeName,type
783,782,318800,Gastroesophageal reflux disease,outcome
783,782,133228,Dental caries,outcome
783,782,376707,Acute conjunctivitis,outcome
783,782,75576,Irritable bowel syndrome,outcome
783,782,435613,Cellulitis,outcome
783,782,378424,Astigmatism,outcome
783,782,139902,Allergic urticaria,outcome
783,782,380731,Otitis externa,outcome
783,782,141323,Acute maxillary sinusitis,outcome
783,782,4079750,Osteoarthritis of knee,outcome
783,782,4150372,Acute otitis media,outcome
783,782,440129,Hypertrophy of nasal turbinates,outcome
783,782,4215978,Onychomycosis,outcome
783,782,4164337,Polyp of large intestine,outcome
783,782,381581,Chalazion,outcome
783,782,4108467,Burn of skin,outcome
783,782,374366,Sensorineural hearing loss,outcome
783,782,439840,Lymphangitis,outcome
783,782,138463,Aphthous ulcer of mouth,outcome
783,782,81878,Benign paroxysmal positional vertigo,outcome
783,782,377910,Deviated nasal septum,outcome
783,782,134453,Bursitis,outcome
783,782,201792,Nongonococcal urethritis,outcome
783,782,194997,Prostatitis,outcome
783,782,373478,Presbyopia,outcome
783,782,4142905,Fracture of rib,outcome
783,782,444367,Cholelithiasis without obstruction,outcome
783,782,194696,Dysmenorrhea,outcome
783,782,4049417,Vesicular eczema,outcome
783,782,380094,Carpal tunnel syndrome,outcome
783,782,140168,Psoriasis,outcome
783,782,72418,Scoliosis deformity of spine,outcome
783,782,72576,Benign tumor of breast,outcome
783,782,4131595,Fracture of radius,outcome
783,782,199074,Acute pancreatitis,outcome
783,782,381444,Contusion of eye,outcome
783,782,4153877,Post-traumatic wound infection,outcome
783,782,73300,Radial styloid tenosynovitis,outcome
783,782,433527,Endometriosis (clinical),outcome
783,782,4028970,Tracheobronchitis,outcome
783,782,141933,Alopecia areata,outcome
783,782,74855,Genital herpes simplex,outcome
783,782,40443308,Polycystic ovary syndrome,outcome
783,782,261880,Atelectasis,outcome
783,782,433440,Dysthymia,outcome
783,782,4218106,Alcoholism,outcome
783,782,198075,Condyloma acuminatum of the anogenital region,outcome
783,782,261326,Viral pneumonia,outcome
783,782,140362,Hypoparathyroidism,outcome
