targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
783,782,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
816,818,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
784,793,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
820,821,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
784,782,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
820,818,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
793,782,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
821,818,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
783,792,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
816,817,797;854;855;856;857;858;859;860;861;862;863,3661561;4018561;4095407;4166455;4166456;4166457;4170281;4339738;4339741;4339824;4339825;35610629;37110861;40480923;40480947,
